检查项,本实现值,参照值,相对偏差,判定,说明
问题1 全天购电费（独立LP vs 求解结果）,35101.56755415551,35101.57,6.967906249085732e-08,PASS,独立变量布局复核
问题1 全天购电费（result1.xlsx 复算）,35101.567554155496,35101.57,6.967906290542327e-08,PASS,读表复算
问题1 弃光电量（由恒等式反推）,1.1368683772161603e-11,0.0,0.0,PASS,Σg=缺口+弃光+0.2111A
问题1 充电量-放电量守恒（母线侧效率换算）,18666.59951851852,18666.599518518517,1.9489242287983917e-16,PASS,E(0)=E(24) 与 Σa=Σb 等价
问题1 DP 最优值 vs LP（离散化间隙）,35198.37359975334,35101.57,0.0027578139596985845,PASS,DP 是 LP 的受限解，应 ≥ LP 且间隙小
问题1 0:00 储电量,6000.0,6000.0,0.0,PASS,
问题1 24:00 储电量,6000.0,6000.0,0.0,PASS,
问题2 紧急购电总量（独立复算）,275907.99164719693,275907.99164719693,0.0,PASS,"逐时段 max(0, 缺口)"
问题2 计划购电费（独立复算）,15347789.637546103,15347789.637546103,0.0,PASS,Σp·g
问题2 紧急购电费（独立复算）,1300195.249137774,1300195.2491377743,1.790735997599372e-16,PASS,Σ5p·e
问题2 计划侧逐时段能量平衡（最大绝对残差 kWh）,2.2737367544323206e-13,0.0,0.0,PASS,g+η_d b+P̃Δt=L̃Δt+a/η_c+s（独立重算预测）
问题2 供电保障违反次数（供给+紧急 < 负载）,0.0,0.0,0.0,PASS,紧急购电定义的自洽性
问题2 全年计划弃光电量（kWh）,0.0,0.0,0.0,PASS,光伏盈余未入库部分
问题2 SOC 越界最大量（kWh）,0.0,0.0,0.0,PASS,"E 位于 [1200,10800]"
问题2 功率上限越界（kWh/段）,6.821210263296962e-13,0.0,0.0,PASS,"a,b≤833.33"
result2 行数,334.0,334.0,0.0,PASS,2025-02-01~12-31
result2 全天购电量=行和（最大相对偏差）,3.388254043400079e-16,0.0,3.388254043400079e-07,PASS,
result2 全天购电费=Σp·g（最大相对偏差）,4.0989263602931923e-16,0.0,4.098926360293192e-07,PASS,
result2 计划矩阵与 npz 一致性（最大绝对差）,4.547473508864641e-13,0.0,0.0,PASS,写出精度
result2 逐日 0:00 储电量偏差,0.0,0.0,0.0,PASS,
result2 逐日 24:00 储电量偏差,0.0,0.0,0.0,PASS,
result2 逐日 充放电-储电量自洽（最大偏差 kWh）,1.0913936421275139e-11,0.0,0.0,PASS,E24=E0+Σa−Σb
result2 紧急购电表合计 vs npz,275907.99164719705,275907.99164719693,4.219353021705688e-16,PASS,
问题3 策略费用分解自洽（P3）,21369474.670492824,21369474.670492824,0.0,PASS,总费用=计划+违约+紧急
问题3 完美信息最优 ≤ P3（信息上界）,14324819.454177637,21369474.670492824,-0.32965972841824304,PASS,完美信息（负载+光伏）应不劣于任何策略（差值 -7.04466e+06 元）
问题3 仅完美光伏信息 ≤ P0,20001280.791148487,21252227.225524917,-0.05886189814844369,PASS,光伏预报价值上界（差值 -1.25095e+06 元）
问题3 仅完美负载信息 ≤ P0,17806627.054149084,21252227.225524917,-0.16212889758855517,PASS,负载预报价值上界（差值 -3.4456e+06 元）
问题3 完美信息下紧急购电费（应≈0）,4.703476434401314e-10,0.0,0.0,PASS,完美信息不应触发紧急购电
问题3 SOC 越界最大量（kWh）,0.0,0.0,0.0,PASS,
问题3 功率上限越界（kWh/段）,2.5011104298755527e-12,0.0,0.0,PASS,
result3 计划/调整矩阵与 npz 一致性（最大绝对差）,4.547473508864641e-13,0.0,0.0,PASS,写出精度
result3 调整购电量≤约束校验：调低量=Σ(计划-调整)+,541498.3328826124,541498.3328826124,0.0,PASS,
result3 全天购电量=行和（最大相对偏差）,4.3589718303035903e-16,0.0,4.35897183030359e-07,PASS,
问题4-2 计划购电费（独立复算）,13752204.93139855,13752204.93139855,0.0,PASS,Σp_act·g
问题4-2 紧急购电费（独立复算）,6593662.001331933,6593662.001331933,0.0,PASS,Σ5p_act·e
result4-2 全天购电费=Σp_act·g（最大相对偏差）,5.097523308829268e-16,0.0,5.097523308829268e-07,PASS,
result4-3 全天购电费=Σp_act·g（最大相对偏差）,4.66684618312861e-16,0.0,4.6668461831286095e-07,PASS,
result4-3 调整矩阵与 npz 一致性（最大绝对差）,4.547473508864641e-13,0.0,0.0,PASS,写出精度
问题4-3 完美信息最优 ≤ P3（信息上界）,15386169.145474564,22244432.97928621,-0.3083137178726017,PASS,波动电价下的信息价值上界（差值 -6.85826e+06 元）
问题4 SOC 越界最大量（kWh）,0.0,0.0,0.0,PASS,
